startup_name,domain,round,amount_usd,investor,date,source,scraped_at,headquarters
MODIFI,B2B BNPL,New Funding Round,15000000.0,SMBC Asia Rising Fund,,,2026-04-20,New Delhi
MODIFI,B2B BNPL,New Funding Round,15000000.0,Maersk,,,2026-04-20,New Delhi
MODIFI,B2B BNPL,New Funding Round,15000000.0,Intesa Sanpaolo,,,2026-04-20,New Delhi
MODIFI,B2B BNPL,New Funding Round,15000000.0,Heliad,,,2026-04-20,New Delhi
Valyx,B2B Financial Management,Pre-Seed Round,800000.0,Huddle Ventures,,,2026-04-20,Bengaluru
Valyx,B2B Financial Management,Pre-Seed Round,800000.0,Waveform Ventures,,,2026-04-20,Bengaluru
Valyx,B2B Financial Management,Pre-Seed Round,800000.0,Bharat Founders Fund,,,2026-04-20,Bengaluru
Valyx,B2B Financial Management,Pre-Seed Round,800000.0,Propell Fund,,,2026-04-20,Bengaluru
HealthCRED,B2B Healthcare Financing,Seed Round,1200000.0,Antler India,,,2026-04-20,New Delhi
HealthCRED,B2B Healthcare Financing,Seed Round,1200000.0,TRTL VC,,,2026-04-20,New Delhi
HealthCRED,B2B Healthcare Financing,Seed Round,1200000.0,DeVC,,,2026-04-20,New Delhi
HealthCRED,B2B Healthcare Financing,Seed Round,1200000.0,iSeedVC,,,2026-04-20,New Delhi
HealthCRED,B2B Healthcare Financing,Seed Round,1200000.0,Angel List India,,,2026-04-20,New Delhi
Revrag,B2B Sales,Pre-Seed Round,600000.0,Powerhouse Ventures,,,2026-04-20,Bengaluru
Revrag,B2B Sales,Pre-Seed Round,600000.0,Viral Bajaria,,,2026-04-20,Bengaluru
Revrag,B2B Sales,Pre-Seed Round,600000.0,Kunal Shah,,,2026-04-20,Bengaluru
Revrag,B2B Sales,Pre-Seed Round,600000.0,Deepak Anchala,,,2026-04-20,Bengaluru
Revrag,B2B Sales,Pre-Seed Round,600000.0,Vetri Vellore,,,2026-04-20,Bengaluru
Revrag,B2B Sales,Pre-Seed Round,600000.0,other angel investors,,,2026-04-20,Bengaluru
StampMyVisa,B2B Visa Platform,Pre-Series A,6.6,Unicorn India Ventures,,,2026-04-20,Mumbai
Udaan,B2B platform,Debt Financing,300.0,Lighthouse Canton,,,2026-04-20,Bengaluru
Udaan,B2B platform,Debt Financing,300.0,Stride Ventures,,,2026-04-20,Bengaluru
